scenario,chr,h2,p_est
EUR_LD,1,0.139239273552517,0.235577859687262
EUR_LD,2,0.235972350799159,0.247910147667913
EUR_LD,3,0.213919053329844,0.187435630405991
EUR_LD,4,0.235066970706742,0.210373416367123
EUR_LD,5,0.494122466337129,0.163997628400923
EUR_LD,6,0.437783944099021,0.19096849864902
EUR_LD,7,0.380533044078188,0.2092439133259
EUR_LD,8,0.54407853706646,0.238792308784342
EUR_LD,9,0.476285272731713,0.177680216816729
EUR_LD,10,0.35711480195226,0.193832917627308
EUR_LD,11,0.333393266533601,0.219186527182961
EUR_LD,12,0.358310392831613,0.259045616138777
EUR_LD,13,0.665404944470618,0.206067997407303
EUR_LD,14,0.696705251085817,0.229214041119662
EUR_LD,15,0.236019951944507,0.258466650440435
EUR_LD,16,0.302438612583052,0.21506897359447
EUR_LD,17,0.318126743469926,0.258835111675667
EUR_LD,18,0.310085443654209,0.205290433221368
EUR_LD,19,0.35614766828641,0.265101929471829
EUR_LD,20,0.522227979825351,0.254637067650767
EUR_LD,21,0.441849030324408,0.247583642322022
EUR_LD,22,0.428098991262645,0.245067484951068
SAS_LD,1,0.227550252785361,0.225739225853286
SAS_LD,2,0.163249026792495,0.209055772605268
SAS_LD,3,0.570966043047321,0.210350351983804
SAS_LD,4,0.246155677214938,0.212551847332504
SAS_LD,5,0.410158208452443,0.187875993808403
SAS_LD,6,0.262319488089044,0.216132364211127
SAS_LD,7,0.190293267541527,0.179792680057508
SAS_LD,8,0.422821362434274,0.223427418770912
SAS_LD,9,0.187312684291319,0.203959181234402
SAS_LD,10,0.151869898516938,0.213202851018779
SAS_LD,11,0.393018735864691,0.216318115788403
SAS_LD,12,0.255146982906993,0.209576168907091
SAS_LD,13,0.203986809524435,0.216742726082531
SAS_LD,14,0.762471607436795,0.244672187364184
SAS_LD,15,0.103069025010334,0.211087821486349
SAS_LD,16,0.363391395885173,0.229366721355068
SAS_LD,17,0.439098730439649,0.228333367313624
SAS_LD,18,0.430509931637418,0.221918208807238
SAS_LD,19,0.162280690541572,0.214420468663423
SAS_LD,20,0.158850295770315,0.235116655779872
SAS_LD,21,0.327258816282407,0.277641639072977
SAS_LD,22,0.615135076087586,0.263135385724213
