method,scenario,decile,EUR_prop,SAS_prop,enrichment
C+T,EUR_effects_EUR_LD,1,0.101391650099404,0.00418410041841004,0.0412667158913775
C+T,EUR_effects_EUR_LD,2,0.099403578528827,0.0209205020920502,0.210460251046025
C+T,EUR_effects_EUR_LD,3,0.099403578528827,0.00627615062761506,0.0631380753138075
C+T,EUR_effects_EUR_LD,4,0.099403578528827,0.0209205020920502,0.210460251046025
C+T,EUR_effects_EUR_LD,5,0.101391650099404,0.0271966527196653,0.268233653293954
C+T,EUR_effects_EUR_LD,6,0.099403578528827,0.0606694560669456,0.610334728033473
C+T,EUR_effects_EUR_LD,7,0.099403578528827,0.0648535564853557,0.652426778242678
C+T,EUR_effects_EUR_LD,8,0.099403578528827,0.100418410041841,1.01020920502092
C+T,EUR_effects_EUR_LD,9,0.099403578528827,0.244769874476987,2.46238493723849
C+T,EUR_effects_EUR_LD,10,0.101391650099404,0.395397489539749,3.89970465173517
LDpred2-inf,EUR_effects_EUR_LD,1,0.101391650099404,0,0
LDpred2-inf,EUR_effects_EUR_LD,2,0.099403578528827,0.0188284518828452,0.189414225941423
LDpred2-inf,EUR_effects_EUR_LD,3,0.099403578528827,0.0251046025104603,0.25255230125523
LDpred2-inf,EUR_effects_EUR_LD,4,0.099403578528827,0.00418410041841004,0.042092050209205
LDpred2-inf,EUR_effects_EUR_LD,5,0.101391650099404,0.0355648535564854,0.350767085076709
LDpred2-inf,EUR_effects_EUR_LD,6,0.099403578528827,0.0543933054393306,0.547196652719665
LDpred2-inf,EUR_effects_EUR_LD,7,0.099403578528827,0.0794979079497908,0.799748953974895
LDpred2-inf,EUR_effects_EUR_LD,8,0.099403578528827,0.125523012552301,1.26276150627615
LDpred2-inf,EUR_effects_EUR_LD,9,0.099403578528827,0.188284518828452,1.89414225941423
LDpred2-inf,EUR_effects_EUR_LD,10,0.101391650099404,0.387029288702929,3.81717121995242
