label,threshold_p,n_snps
EUR_effects_EUR_LD,5e-08,84
EUR_effects_EUR_LD,1e-06,136
EUR_effects_EUR_LD,1e-04,603
EUR_effects_EUR_LD,0.001,1863
EUR_effects_EUR_LD,0.01,7898
EUR_effects_EUR_LD,0.05,23890
EUR_effects_EUR_LD,0.1,38575
EUR_effects_EUR_LD,0.5,111731
EUR_effects_EUR_LD,1,158487
EUR_effects_SAS_LD,5e-08,105
EUR_effects_SAS_LD,1e-06,171
EUR_effects_SAS_LD,1e-04,693
EUR_effects_SAS_LD,0.001,2079
EUR_effects_SAS_LD,0.01,8747
EUR_effects_SAS_LD,0.05,26470
EUR_effects_SAS_LD,0.1,42606
EUR_effects_SAS_LD,0.5,121995
EUR_effects_SAS_LD,1,174047
CSA_effects_SAS_LD,5e-08,1
CSA_effects_SAS_LD,1e-06,4
CSA_effects_SAS_LD,1e-04,84
CSA_effects_SAS_LD,0.001,611
CSA_effects_SAS_LD,0.01,4900
CSA_effects_SAS_LD,0.05,19662
CSA_effects_SAS_LD,0.1,35090
CSA_effects_SAS_LD,0.5,118803
CSA_effects_SAS_LD,1,174401
