ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048002,antigen processing and presentation of peptide antigen,10/132,68/18842,0.147058823529412,20.9915329768271,13.8715245197755,4.15441645134086e-11,2.44279687338843e-07,2.44279687338843e-07,HLA-DRB1/IDE/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-B/HLA-C/TAP2/HLA-DQA2/HLA-DRA,10
GO:0002478,antigen processing and presentation of exogenous peptide antigen,8/132,39/18842,0.205128205128205,29.2804972804973,14.8493628281811,2.40079313857382e-10,7.05833182740703e-07,7.05833182740703e-07,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-B/HLA-C/HLA-DQA2/HLA-DRA,8
GO:0002399,MHC class II protein complex assembly,6/132,16/18842,0.375,53.5284090909091,17.6553876862906,7.97141400753882e-10,9.54977627884505e-07,9.54977627884505e-07,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DRA,6
GO:0002503,peptide antigen assembly with MHC class II protein complex,6/132,16/18842,0.375,53.5284090909091,17.6553876862906,7.97141400753882e-10,9.54977627884505e-07,9.54977627884505e-07,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DRA,6
GO:0019884,antigen processing and presentation of exogenous antigen,8/132,45/18842,0.177777777777778,25.376430976431,13.750995895606,8.12055806024239e-10,9.54977627884505e-07,9.54977627884505e-07,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-B/HLA-C/HLA-DQA2/HLA-DRA,8
GO:0019882,antigen processing and presentation,10/132,104/18842,0.0961538461538462,13.7252331002331,10.9300675364932,3.01516857044843e-09,2.95486519903946e-06,2.95486519903946e-06,HLA-DRB1/IDE/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-B/HLA-C/TAP2/HLA-DQA2/HLA-DRA,10
GO:0002396,MHC protein complex assembly,6/132,21/18842,0.285714285714286,40.7835497835498,15.3212386771293,5.24865356496945e-09,3.85776037025255e-06,3.85776037025255e-06,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DRA,6
GO:0002501,peptide antigen assembly with MHC protein complex,6/132,21/18842,0.285714285714286,40.7835497835498,15.3212386771293,5.24865356496945e-09,3.85776037025255e-06,3.85776037025255e-06,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DRA,6
GO:0002483,antigen processing and presentation of endogenous peptide antigen,6/132,24/18842,0.25,35.6856060606061,14.2813815674167,1.27963295914578e-08,8.36026866641912e-06,8.36026866641912e-06,HLA-DRB1/IDE/HLA-B/HLA-C/TAP2/HLA-DRA,6
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,6/132,27/18842,0.222222222222222,31.7205387205387,13.417161417943,2.76616784237954e-08,1.62650669131917e-05,1.62650669131917e-05,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DRA,6
