category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,11/79,82/9392,0.134146341463415,15.9481321395492,12.5211344351596,6.30460482738765e-11,1.29570037057129e-08,1.29570037057129e-08,3123/3305/3127/3117/3119/3106/3107/6891/3303/3118/3122,11
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,9/79,44/9392,0.204545454545455,24.3176064441887,14.2782709422473,7.38290809442332e-11,1.29570037057129e-08,1.29570037057129e-08,3123/3127/3117/3119/3106/4049/3107/3118/3122,9
Human Diseases,Immune disease,hsa05330,Allograft rejection,8/79,39/9392,0.205128205128205,24.3868873742291,13.4788836651697,8.69727279910324e-10,1.01758091749508e-07,1.01758091749508e-07,3123/3127/3117/3119/3106/3107/3118/3122,8
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,8/79,45/9392,0.177777777777778,21.1353023909986,12.4696124551918,2.92620866518086e-09,2.56774810369621e-07,2.56774810369621e-07,3123/3127/3117/3119/3106/3107/3118/3122,8
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,8/79,54/9392,0.148148148148148,17.6127519924988,11.2755099152415,1.32920840205124e-08,9.33104298239967e-07,9.33104298239967e-07,3123/3127/3117/3119/3106/3107/3118/3122,8
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,13/79,224/9392,0.0580357142857143,6.8996383363472,8.23069977105338,3.74587375780981e-08,2.19133614831874e-06,2.19133614831874e-06,1030/3123/894/111/3127/3117/1388/3119/3106/4049/3107/3118/3122,13
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,8/79,70/9392,0.114285714285714,13.5869801084991,9.73510591831313,1.08253655593185e-07,5.42814758760115e-06,5.42814758760115e-06,3123/3127/3117/3119/3106/3107/3118/3122,8
Human Diseases,Immune disease,hsa05310,Asthma,6/79,32/9392,0.1875,22.2911392405063,11.111191416435,2.22434919052633e-07,9.75933207343427e-06,9.75933207343427e-06,3123/3127/3117/3119/3118/3122,6
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,11/79,205/9392,0.0536585365853659,6.3792528558197,7.17194079690747,1.01073531133637e-06,3.94186771421185e-05,3.94186771421185e-05,3123/894/5609/3127/3117/3119/3106/3107/6891/3118/3122,11
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,10/79,180/9392,0.0555555555555556,6.60478199718706,6.99266426748019,2.38998691823034e-06,8.3888540829885e-05,8.3888540829885e-05,3123/3127/3117/3119/3106/4049/3107/6891/3118/3122,10
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,6/79,50/9392,0.12,14.2663291139241,8.66244524162192,3.4588297132935e-06,0.000110368111760547,0.000110368111760547,3123/3127/3117/3119/3118/3122,6
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,8/79,112/9392,0.0714285714285714,8.49186256781193,7.34597573833244,4.10626417334183e-06,0.000120108227070249,0.000120108227070249,3123/3305/3127/3117/3119/3303/3118/3122,8
Cellular Processes,Transport and catabolism,hsa04145,Phagocytosis,11/79,259/9392,0.0424710424710425,5.04921558086115,6.0860948572903,9.74495439521264e-06,0.000263113768670741,0.000263113768670741,3123/534/3127/3117/3119/3106/3107/6891/3118/3122/84315,11
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,7/79,93/9392,0.0752688172043011,8.94841431876957,7.09460975816178,1.20626611961171e-05,0.000302428148559792,0.000302428148559792,3123/4853/3127/3117/3119/3118/3122,7
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,7/79,95/9392,0.0736842105263158,8.76002664890073,7.00129318196227,1.38820116881966e-05,0.000324839073503801,0.000324839073503801,3123/534/3127/3117/3119/3118/3122,7
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,6/79,66/9392,0.0909090909090909,10.8078250863061,7.36413325713149,1.77746435052063e-05,0.000375901076118514,0.000375901076118514,3123/3127/3117/3119/3118/3122,6
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,7/79,99/9392,0.0707070707070707,8.40608617823808,6.82264939910341,1.8206035025683e-05,0.000375901076118514,0.000375901076118514,3123/717/3127/3117/3119/3118/3122,7
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,6/79,78/9392,0.0769230769230769,9.14508276533593,6.65272161557173,4.63854535737054e-05,0.000904516344687256,0.000904516344687256,3123/3127/3117/3119/3118/3122,6
Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,8/79,160/9392,0.05,5.94430379746835,5.8095421303722,5.56927382493443e-05,0.00102885005923789,0.00102885005923789,3123/3127/3117/3119/3106/3107/3118/3122,8
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,6/79,100/9392,0.06,7.13316455696203,5.67877525353684,0.000185945355065889,0.00317886499072886,0.00317886499072886,3123/3127/3117/3119/3118/3122,6
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,7/79,143/9392,0.048951048951049,5.81959812339559,5.3487970541048,0.000190188503718821,0.00317886499072886,0.00317886499072886,3123/717/3127/3117/3119/3118/3122,7
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,6/79,109/9392,0.055045871559633,6.54418766693764,5.36205989252456,0.000297526531758927,0.00474690057488107,0.00474690057488107,3123/3127/3117/3119/3118/3122,6
