"ProbeName","GeneSymbol","logFC","AveExpr","t","adj.P.Val"
"A_23_P63847","SUPV3L1",3.00648111872159,8.28245436397614,63.3139829776742,0.000221677090021616
"A_33_P3353263","CYB5RL",2.97530807063878,8.00122702987038,59.5013111313811,0.000221677090021616
"A_23_P122924","INHBA",2.73016168140613,8.2426007975642,55.9793529706483,0.000221677090021616
"A_23_P73702","MED12",2.67818929838354,8.37074674103692,55.577768924431,0.000221677090021616
"A_24_P822692","LOC643669",2.7464418523178,7.65436032199674,55.5184143870276,0.000221677090021616
"A_23_P162702","C12orf51",2.90216423884633,7.47639307139937,55.0208037848043,0.000221677090021616
"A_24_P376787","ZNF496",2.61756292427196,8.32517699732396,54.7956180523247,0.000221677090021616
"A_23_P117727","MTFMT",2.63411366055923,8.29178626756362,53.894154383139,0.000229353217137572
"A_23_P150018","DUSP5",2.6152688725113,8.34673292981284,52.6543470116327,0.00023602475083735
"A_32_P776626","RGPD1",2.72739335727216,6.64309520873756,51.4704261130755,0.000238115769833207
"A_23_P215790","EGFR",2.7440424295073,8.3311501194974,50.9956735143578,0.000238115769833207
"A_23_P60240","PIGO",2.72813340945327,8.72867992508854,50.9840629181681,0.000238115769833207
"A_23_P121345","TBCCD1",2.59827771182793,8.32212908803571,50.5706766568429,0.000239351815514275
"A_23_P419239","ETNK1",2.96538457632192,7.08607716429053,49.5393235965052,0.000249015964289922
"A_23_P323783","LSM14B",2.86955489361824,7.25641950828553,49.1413761446173,0.000249015964289922
"A_23_P138507","CDK1",2.39219816068425,6.79849988597035,47.3117158407889,0.00028127987257255
"A_33_P3362781","KLHL36",2.48453301095421,8.81747862958611,46.8330823550526,0.000284258457308912
"A_24_P100368","DYNLT3",2.38691798328545,9.41505070404994,45.5684956851513,0.000307641121653316
"A_24_P343233","HLA-DRB1",2.63990481729417,8.34520967154429,45.2401645628862,0.000307641121653316
"A_23_P120883","HMOX1",2.17403388403907,8.04936159780951,44.0841192935033,0.00030895851787938
"A_24_P20200","PLEKHB2",2.46986433976865,5.15567838172188,43.2963792953412,0.000314862373854783
"A_23_P98167","UNC93B1",2.33755564325502,9.01053443682235,43.1314380621332,0.000314862373854783
"A_23_P151280","C12orf62",3.01227335757227,7.76654416949259,42.2416407828,0.000323319919586331
"A_23_P22765","NDUFB11",2.66411881837569,7.42929741379863,41.6740229802974,0.000331364348125395
"A_33_P3321801","LOC100272216",2.70838702426258,8.26389430022093,40.9486489856878,0.000351777174168597
"A_33_P3225696","ZNF526",2.08276430748498,5.88805905316729,40.4246543215882,0.000353062339165403
"A_23_P312610","DNAJC4",2.59181709894429,9.52737199782622,39.708038577264,0.000359554062678013
"A_33_P3229239","HIST2H2BF",2.20048479100279,9.9839744929453,39.6731918422208,0.000359554062678013
"A_23_P347528","TFCP2",2.04937708277188,7.17985171602812,39.5511288703439,0.000359554062678013
"A_23_P101461","CCDC130",2.82367631189707,7.20023652263925,39.2278799437394,0.000367160864651469
"A_24_P390583","USP31",2.1611792332064,5.59786121046478,38.5785389345538,0.000380780948569796
"A_33_P3261648","ANKRD36B",2.20615928613506,8.00882656122001,38.5152210993189,0.000380780948569796
"A_24_P334640","PAQR8",1.97147207255444,8.1664585217615,37.9497009070079,0.000399145179554597
"A_23_P63908","TRUB1",2.03310221408445,9.00129027141425,37.3683542474698,0.0004169623983121
"A_33_P3222728","ZNF167",1.84364338854974,7.24964634895157,36.9867519508858,0.000427936596743335
"A_23_P369983","FAM98C",1.99197800787395,7.7315845210571,36.8690346860375,0.000427936596743335
"A_23_P101392","TMEM38A",2.06308284684897,6.688447290184,36.6009189949836,0.000427936596743335
"A_33_P3236563","ALDH3B1",2.21869741848657,11.8331705453219,36.5112844098417,0.000427936596743335
"A_23_P217068","RPL12",2.48167832779128,9.53546894107201,36.4352497304876,0.000427936596743335
"A_33_P3307307","MLL",1.89770607056115,7.08472154094013,36.3754574495903,0.000427936596743335
"A_23_P40108","COL9A3",1.93271475960973,6.84458626256968,36.1916977103173,0.000432131068336137
"A_24_P184555","PXN",2.72900869176062,8.48802608237813,36.0727566891001,0.000433036379368884
"A_32_P206050","TBC1D30",1.68856194830704,9.24127194024375,35.7597007743723,0.000444515534160308
"A_23_P102262","MRPL19",1.69473966488102,7.00395236433443,35.4548950524949,0.000450622832401354
"A_23_P215214","LMBR1",2.21275053724738,9.0680617588707,35.0386939539116,0.000454951212067435
"A_33_P3373375","CD81",1.97625084535035,6.1882214786404,34.9605055207067,0.000454951212067435
"A_24_P258846","NFATC1",1.67029031971461,9.23240470738665,34.8725128142135,0.000454951212067435
"A_23_P105619","TMEM116",2.1781764023993,9.8702461264894,34.8431308150199,0.000454951212067435
"A_23_P50735","ZNF181",2.1777864338988,6.14766875012223,34.7353222335034,0.000454951212067435
"A_23_P370569","C12orf66",1.65657059996547,11.9393235766414,34.7089401509991,0.000454951212067435
"A_23_P306105","GALNT1",2.26576763976586,4.57915839299588,34.5136712591827,0.000454951212067435
"A_24_P341187","GBA2",1.85792050379439,6.66568295618763,34.4539157251217,0.000454951212067435
"A_33_P3291176","VMAC",2.01602382226402,8.90073034541098,34.4042261266703,0.000454951212067435
"A_24_P500891","AK2",2.69133569106344,8.31781650478966,34.0248796224772,0.000458436163845782
"A_24_P269551","CLVS1",1.62065112349433,8.38433946428764,33.849931689693,0.000461511757693123
