"Description","GeneRatio","BgRatio","p.adjust","geneID"
"regulation of lymphocyte activation","40/762","350/13022",0.0527641669877696,"INHBA/HLA-DRB1/CCL2/PHF10/CD81/FANCA/RAG1/RAC2/KLRC1/ZBTB1/BCL2/TGFB1/FBXO38/PTPN11/ERBB2/RASGRP1/AGER/CD24/FLOT2/MSH2/BRAF/SMARCC2/SIRPB1/HLA-DMA/EXOSC3/ACTB/DNAJA3/RIPK2/CBFB/DUSP3/SPN/BRD4/GPR183/HLA-G/CAMK4/SLC15A4/ZFP36L1/TYK2/FBXO7/CD86"
"anatomical structure maturation","27/762","200/13022",0.0527641669877696,"LSM14B/CABYR/APP/RAC2/NTN4/CNTN2/BCL2/TGFB1/WDR77/ATP6AP2/TDRKH/FZD5/CDK5R1/H3-3B/EDN1/CBFB/FEV/YTHDF2/EDNRA/CDK5R2/SPTBN4/DCHS1/ANKRD17/TUT7/TMEM79/PTK2B/NF1"
"positive regulation of T cell activation","25/762","181/13022",0.0527641669877696,"HLA-DRB1/CCL2/PHF10/CD81/RAG1/ZBTB1/TGFB1/FBXO38/PTPN11/RASGRP1/AGER/CD24/FLOT2/SMARCC2/SIRPB1/HLA-DMA/ACTB/DNAJA3/RIPK2/CBFB/SPN/BRD4/HLA-G/TYK2/CD86"
"ERK1 and ERK2 cascade","28/762","215/13022",0.0527641669877696,"MAPK3/INHBA/DUSP5/EGFR/CDK1/HLA-DRB1/APP/APIP/TGFB1/PTPN11/HRAS/ERBB2/RASGRP1/SEMA6A/AGER/BRAF/RIPK2/EDN1/DUSP3/GPER1/GSTP1/GPR183/ZFP36L1/HTR2B/HMGCR/PTK2B/NRXN1/NF1"
"lymphocyte differentiation","35/762","304/13022",0.0527641669877696,"INHBA/HLA-DRB1/KMT2A/PHF10/FANCA/RAG1/KLRC1/ZBTB1/BCL2/TGFB1/ERBB2/RASGRP1/FZD5/HDAC5/MSH2/BRAF/SMARCC2/ACTB/DNAJA3/RIPK2/CBFB/SOCS3/SPN/BRD4/GPR183/HLA-G/ADGRG3/TRAF3IP2/ATG5/CAMK4/ZFP36L1/FBXO7/MFNG/PTK2B/CD86"
"T cell differentiation in thymus","13/762","66/13022",0.0527641669877696,"RAG1/ZBTB1/BCL2/ERBB2/RASGRP1/FZD5/BRAF/DNAJA3/RIPK2/SPN/ATG5/CAMK4/ZFP36L1"
"regulation of stress-activated MAPK cascade","9/762","34/13022",0.0527641669877696,"MAPK3/PRDX1/PPIA/TAOK2/IGBP1/RIPK2/GSTP1/SEMA4C/MAPK8IP2"
"T cell activation","42/762","400/13022",0.0527641669877696,"HLA-DRB1/CCL2/KMT2A/PHF10/CD81/FANCA/RAG1/RAC2/KLRC1/ZBTB1/BCL2/TGFB1/FBXO38/PTPN11/ERBB2/RASGRP1/FZD5/AGER/CD24/FLOT2/BRAF/SMARCC2/SIRPB1/HLA-DMA/ACTB/DNAJA3/RIPK2/CBFB/DUSP3/SOCS3/SPN/SMAD3/BRD4/GPR183/HLA-G/TRAF3IP2/ATG5/NLRC3/CAMK4/ZFP36L1/TYK2/CD86"
"regulation of T cell activation","31/762","264/13022",0.0527641669877696,"HLA-DRB1/CCL2/PHF10/CD81/FANCA/RAG1/RAC2/ZBTB1/TGFB1/FBXO38/PTPN11/ERBB2/RASGRP1/AGER/CD24/FLOT2/BRAF/SMARCC2/SIRPB1/HLA-DMA/ACTB/DNAJA3/RIPK2/CBFB/DUSP3/SPN/BRD4/HLA-G/CAMK4/TYK2/CD86"
"cell maturation","21/762","150/13022",0.0527641669877696,"LSM14B/CABYR/APP/RAC2/NTN4/CNTN2/BCL2/TGFB1/WDR77/TDRKH/FZD5/H3-3B/EDN1/CBFB/FEV/YTHDF2/EDNRA/SPTBN4/TUT7/TMEM79/PTK2B"
