"GeneSymbol","logFC","adj.P.Val","category"
"RNF141",-3.30160470887133,0.000221677090021616,"Downregulated"
"HLA-DRB1",2.63990481729417,0.000307641121653316,"Upregulated"
"TMEM38A",2.06308284684897,0.000427936596743335,"Upregulated"
"GALNT1",2.26576763976586,0.000454951212067435,"Upregulated"
"MNT",1.54668974090074,0.000509254957334804,"Upregulated"
"RAD18",-1.2489272688728,0.000815967695745433,"Downregulated"
"TAB2",1.12097511918004,0.000820496786861581,"Upregulated"
"MYO9B",1.55179139311752,0.000854485280114217,"Upregulated"
"TRIM36",-1.01971203490332,0.00108997537500927,"Downregulated"
"HLA-DMA",1.54324989881075,0.00113728247994239,"Upregulated"
"TTLL1",1.09401787339386,0.00115131210081507,"Upregulated"
"PPP1R18",-1.81429529214269,0.00115597313691108,"Downregulated"
"NFKBIL1",1.3601487359394,0.00129711158580175,"Upregulated"
"HLA-G",-1.29257741034583,0.00199487583994358,"Downregulated"
"NDUFB4",-1.30472662247199,0.00232785176418441,"Downregulated"
"SRGAP3",-1.01716299894163,0.00450942021760444,"Downregulated"
"NUDCD3",1.09780076537738,0.00488676533522076,"Upregulated"
"CYBRD1",1.13688835846456,0.00565917286211264,"Upregulated"
"GLRX2",1.07427983791892,0.0059510776419141,"Upregulated"
"GFM1",-2.18085590167863,0.00630335020519949,"Downregulated"
"YKT6",1.11691288285623,0.00892912568860141,"Upregulated"
"PABPC1L2B",1.04923459400386,0.011544585575395,"Upregulated"
