Name:,Date:,Start Time:,End Time:,Temperature Range (ºF):,Time of Day:,Time Stamp:,Pecking (m),Pecking (f),Dabbling (m),Dabbling (f),Dipping (m),Dipping (f),Upending (m),Upending (f),Visitor Interaction (Y/N),Notes:
Kim Luong,2/23/23,1:00 PM,2:00 PM,80 - 82,afternoon,0:00,0,0,8,2,3,0,0,0,N,There were less shovelers at the lake (still more than 10 shovelers).
Kim Luong,2/23/23,1:00 PM,2:00 PM,80 - 82,afternoon,0:10,4,2,6,3,1,1,0,0,Y,The weather was slightly windy and cloudy.
Kim Luong,2/23/23,1:00 PM,2:00 PM,80 - 82,afternoon,0:20,3,1,2,1,0,0,0,0,Y,
Kim Luong,2/23/23,1:00 PM,2:00 PM,80 - 82,afternoon,0:30,1,2,1,0,0,0,0,0,N,
Kim Luong,2/23/23,1:00 PM,2:00 PM,80 - 82,afternoon,0:40,0,0,1,1,3,2,0,0,N,
Kim Luong,2/23/23,1:00 PM,2:00 PM,80 - 82,afternoon,0:50,0,0,4,3,3,0,1,0,N,
Kim Luong,2/23/23,1:00 PM,2:00 PM,80 - 82,afternoon,1:00,2,1,0,2,1,0,0,0,Y,
Kim Luong,2/25/23,11:00 AM,12:00 PM,51 - 55,morning,0:00,0,2,1,1,0,0,0,0,N,There were about 6 shovelers at the lake. (4 breeding males and 2 females)
Kim Luong,2/25/23,11:00 AM,12:00 PM,51 - 55,morning,0:10,2,2,1,0,0,0,0,0,Y,The weather was slightly windy and cloudly.
Kim Luong,2/25/23,11:00 AM,12:00 PM,51 - 55,morning,0:20,0,1,4,2,0,0,0,1,N,There was some kind of festivity/sports event on one side of the park.
Kim Luong,2/25/23,11:00 AM,12:00 PM,51 - 55,morning,0:30,1,1,2,2,2,2,0,2,N,
Kim Luong,2/25/23,11:00 AM,12:00 PM,51 - 55,morning,0:40,3,1,1,1,1,0,0,0,Y,
Kim Luong,2/25/23,11:00 AM,12:00 PM,51 - 55,morning,0:50,2,2,0,0,1,2,0,1,N,
Kim Luong,2/25/23,11:00 AM,12:00 PM,51 - 55,morning,1:00,0,0,0,0,1,0,1,1,N,
Peter Zhang,2/25/2023,12:44 PM,1:54 PM,56-58,afternoon,0:00,0,0,0,0,0,0,0,0,N,"There was some kind of festivity/sports event on one side of the park. I stood on the opposite side of this, as far away as possible. "
Peter Zhang,2/25/2023,12:44 PM,1:54 PM,56-58,afternoon,0:10,0,0,0,0,0,0,0,0,N,"I mistook some Gadwalls from far away as Northern Shovelers. There were very few Shovelers, perhaps as few as 1 or 2."
Peter Zhang,2/25/2023,12:44 PM,1:54 PM,56-58,afternoon,0:20,0,0,0,0,0,0,0,0,N,The entire day was cloudy and a little chilly
Peter Zhang,2/25/2023,12:44 PM,1:54 PM,56-58,afternoon,0:30,0,0,0,0,0,1,0,0,N,
Peter Zhang,2/25/2023,12:44 PM,1:54 PM,56-58,afternoon,0:40,0,0,0,0,0,0,0,0,Y,"Halfway through, I moved to try and find more Shovelers to observe, but there still weren't many."
Peter Zhang,2/25/2023,12:44 PM,1:54 PM,56-58,afternoon,0:50,0,0,0,0,0,0,0,0,Y,
Peter Zhang,2/25/2023,12:44 PM,1:54 PM,56-58,afternoon,1:00,0,0,0,1,0,0,0,0,Y,
Peter Zhang,2/25/2023,12:44 PM,1:54 PM,56-58,afternoon,1:10,0,0,0,0,0,1,0,0,Y,
Peter Zhang,2/26/2023,11:03 AM,11;53AM,77-81,morning,1:00,0,0,0,0,0,0,0,0,N,There were even less Shovelers this day. I only saw 1 female Shoveler.
Peter Zhang,2/26/2023,11:03 AM,11;53AM,77-81,morning,0:00,0,0,0,0,0,0,0,0,N,The entire day was mostly cloudy and very windy
