"behavior","time","mean","sd"
"dabbling","afternoon",2.80952380952381,3.30733180527007
"dabbling","evening",7.88095238095238,4.4841312667215
"dabbling","morning",2.4047619047619,3.9015914439606
"dipping","afternoon",2.5,3.14099564764687
"dipping","evening",9.47619047619048,7.24901370999614
"dipping","morning",1.14285714285714,1.92000290359827
"pecking","afternoon",0.857142857142857,1.67581692596118
"pecking","evening",3,2.41943351563654
"pecking","morning",0.595238095238095,1.49893496839889
"upending","afternoon",1.02439024390244,1.87733594327239
"upending","evening",4.23809523809524,4.32694069702677
"upending","morning",0.619047619047619,1.1884070287447
