Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes
State,Alabama,01,All,All,All,Alcohol Abuse,0.0188,25102.3405,23348.6039,0.2413,2184.7557
State,Alabama,01,65+,Dual Status,Medicare Only,Alcohol Abuse,0.0118,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Alcohol Abuse,0.032,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Alcohol Abuse,0.0147,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Alcohol Abuse,0.0238,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Alcohol Abuse,0.0465,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Alcohol Abuse,0.0347,,,,
State,Alabama,01,65+,Sex,Female,Alcohol Abuse,0.0058,,,,
State,Alabama,01,<65,Sex,Female,Alcohol Abuse,0.0235,,,,
State,Alabama,01,All,Sex,Female,Alcohol Abuse,0.0092,,,,
State,Alabama,01,65+,Sex,Male,Alcohol Abuse,0.0232,,,,
State,Alabama,01,<65,Sex,Male,Alcohol Abuse,0.0537,,,,
State,Alabama,01,All,Sex,Male,Alcohol Abuse,0.0306,,,,
State,Alabama,01,All,All,All,Alzheimer's Disease/Dementia,0.114,25051.8813,22554.0576,0.2119,1410.8355
State,Alabama,01,65+,Dual Status,Medicare Only,Alzheimer's Disease/Dementia,0.1109,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Alzheimer's Disease/Dementia,0.0245,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Alzheimer's Disease/Dementia,0.0985,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Alzheimer's Disease/Dementia,0.2913,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Alzheimer's Disease/Dementia,0.0453,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Alzheimer's Disease/Dementia,0.1725,,,,
State,Alabama,01,65+,Sex,Female,Alzheimer's Disease/Dementia,0.1547,,,,
State,Alabama,01,<65,Sex,Female,Alzheimer's Disease/Dementia,0.0338,,,,
State,Alabama,01,All,Sex,Female,Alzheimer's Disease/Dementia,0.1314,,,,
State,Alabama,01,65+,Sex,Male,Alzheimer's Disease/Dementia,0.1112,,,,
State,Alabama,01,<65,Sex,Male,Alzheimer's Disease/Dementia,0.0348,,,,
State,Alabama,01,All,Sex,Male,Alzheimer's Disease/Dementia,0.0928,,,,
State,Alabama,01,All,All,All,Arthritis,0.3897,15827.493,14403.578,0.1775,998.3314
State,Alabama,01,65+,Dual Status,Medicare Only,Arthritis,0.398,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Arthritis,0.3118,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Arthritis,0.3856,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Arthritis,0.4828,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Arthritis,0.3223,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Arthritis,0.4053,,,,
State,Alabama,01,65+,Sex,Female,Arthritis,0.4646,,,,
State,Alabama,01,<65,Sex,Female,Arthritis,0.394,,,,
State,Alabama,01,All,Sex,Female,Arthritis,0.451,,,,
State,Alabama,01,65+,Sex,Male,Arthritis,0.3386,,,,
State,Alabama,01,<65,Sex,Male,Arthritis,0.2416,,,,
State,Alabama,01,All,Sex,Male,Arthritis,0.3153,,,,
State,Alabama,01,All,All,All,Asthma,0.0499,20560.6948,18914.5834,0.2117,1614.4483
State,Alabama,01,65+,Dual Status,Medicare Only,Asthma,0.0452,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Asthma,0.0497,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Asthma,0.0458,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Asthma,0.0525,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Asthma,0.0791,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Asthma,0.0653,,,,
State,Alabama,01,65+,Sex,Female,Asthma,0.0603,,,,
State,Alabama,01,<65,Sex,Female,Asthma,0.0922,,,,
State,Alabama,01,All,Sex,Female,Asthma,0.0665,,,,
State,Alabama,01,65+,Sex,Male,Asthma,0.0279,,,,
State,Alabama,01,<65,Sex,Male,Asthma,0.0356,,,,
State,Alabama,01,All,Sex,Male,Asthma,0.0298,,,,
State,Alabama,01,All,All,All,Atrial Fibrillation,0.0793,25450.4587,23414.3381,0.2268,1450.9822
State,Alabama,01,65+,Dual Status,Medicare Only,Atrial Fibrillation,0.0951,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Atrial Fibrillation,0.022,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Atrial Fibrillation,0.0846,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Atrial Fibrillation,0.0969,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Atrial Fibrillation,0.0185,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Atrial Fibrillation,0.059,,,,
State,Alabama,01,65+,Sex,Female,Atrial Fibrillation,0.0877,,,,
State,Alabama,01,<65,Sex,Female,Atrial Fibrillation,0.0162,,,,
State,Alabama,01,All,Sex,Female,Atrial Fibrillation,0.0739,,,,
State,Alabama,01,65+,Sex,Male,Atrial Fibrillation,0.1052,,,,
State,Alabama,01,<65,Sex,Male,Atrial Fibrillation,0.0244,,,,
State,Alabama,01,All,Sex,Male,Atrial Fibrillation,0.0857,,,,
State,Alabama,01,All,All,All,Autism Spectrum Disorders,0.0017,7389.2244,6834.3493,0.1681,941.7373
State,Alabama,01,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,0.0001,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,0.0024,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Autism Spectrum Disorders,0.0004,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0006,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0128,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0065,,,,
State,Alabama,01,65+,Sex,Female,Autism Spectrum Disorders,0.0001,,,,
State,Alabama,01,<65,Sex,Female,Autism Spectrum Disorders,0.0037,,,,
State,Alabama,01,All,Sex,Female,Autism Spectrum Disorders,0.0008,,,,
State,Alabama,01,65+,Sex,Male,Autism Spectrum Disorders,0.0002,,,,
State,Alabama,01,<65,Sex,Male,Autism Spectrum Disorders,0.0109,,,,
State,Alabama,01,All,Sex,Male,Autism Spectrum Disorders,0.0028,,,,
State,Alabama,01,All,All,All,COPD,0.1375,24579.4174,22509.9589,0.2237,1622.4625
State,Alabama,01,65+,Dual Status,Medicare Only,COPD,0.1235,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,COPD,0.1044,,,,
State,Alabama,01,All,Dual Status,Medicare Only,COPD,0.1208,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,COPD,0.2353,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,COPD,0.1635,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,COPD,0.2006,,,,
State,Alabama,01,65+,Sex,Female,COPD,0.1319,,,,
State,Alabama,01,<65,Sex,Female,COPD,0.1504,,,,
State,Alabama,01,All,Sex,Female,COPD,0.1355,,,,
State,Alabama,01,65+,Sex,Male,COPD,0.148,,,,
State,Alabama,01,<65,Sex,Male,COPD,0.1145,,,,
State,Alabama,01,All,Sex,Male,COPD,0.1399,,,,
State,Alabama,01,All,All,All,Cancer,0.0806,21378.1832,19647.8751,0.1965,1000.8886
State,Alabama,01,65+,Dual Status,Medicare Only,Cancer,0.0966,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Cancer,0.0331,,,,
